year,period_type,decimal_latitude,decimal_longitude,species,state_province,country_code,time_period,month,avg_temp_c,land_area,density_per,observations,cluster,cluster_name
1980,2,42,-70,Cygnus olor,Massachusetts,US,1_1980-1988,7,21.777779,20202.0,347.0,1,3,Северо-восток США и восток Канады
1980,2,43,-119,Cygnus buccinator,Oregon,US,1_1980-1988,6,12.277778,248608.0,17.0,2,4,Запад США и Канады
1980,2,43,-111,Cygnus buccinator,Idaho,US,1_1980-1988,7,18.0,214045.0,9.2,1,4,Запад США и Канады
1980,2,43,-88,Cygnus olor,Wisconsin,US,1_1980-1988,7,21.277779,140268.0,42.0,1,3,Северо-восток США и восток Канады
1980,2,43,-81,Cygnus olor,Ontario,CA,1_1980-1988,6,14.309471,1.076395e+06,15.2,1,3,Северо-восток США и восток Канады
1980,2,43,-80,Cygnus olor,Ontario,CA,1_1980-1988,8,19.641945,1.076395e+06,15.2,1,3,Северо-восток США и восток Канады
1980,2,43,-77,Cygnus columbianus,New York,US,1_1980-1988,6,15.722222,122057.0,160.0,1,3,Северо-восток США и восток Канады
1980,2,44,-111,Cygnus buccinator,Wyoming,US,1_1980-1988,6,15.166667,251470.0,2.3,1,4,Запад США и Канады
1980,2,44,-111,Cygnus buccinator,Wyoming,US,1_1980-1988,7,19.333334,251470.0,2.3,6,4,Запад США и Канады
1980,2,44,-111,Cygnus buccinator,Wyoming,US,1_1980-1988,8,16.333334,251470.0,2.3,2,4,Запад США и Канады
1980,2,44,-110,Cygnus buccinator,Wyoming,US,1_1980-1988,7,19.333334,251470.0,2.3,1,4,Запад США и Канады
1980,2,44,-89,Cygnus columbianus,Wisconsin,US,1_1980-1988,7,21.277779,140268.0,42.0,1,3,Северо-восток США и восток Канады
1980,2,44,-80,Cygnus olor,Ontario,CA,1_1980-1988,6,14.309471,1.076395e+06,15.2,1,3,Северо-восток США и восток Канады
1980,2,44,-80,Cygnus olor,Ontario,CA,1_1980-1988,8,19.641945,1.076395e+06,15.2,1,3,Северо-восток США и восток Канады
1980,2,44,-79,Cygnus olor,Ontario,CA,1_1980-1988,6,14.309471,1.076395e+06,15.2,4,3,Северо-восток США и восток Канады
1980,2,44,-79,Cygnus olor,Ontario,CA,1_1980-1988,7,19.314909,1.076395e+06,15.2,3,3,Северо-восток США и восток Канады
