LocationID,GridCellID,Latitude,Longitude,StateProvince,Country,DensityPer,LandArea
58_-105_Saskatchewan,58_-105,58,-105,Saskatchewan,CA,2.0,588243.56
59_-139_Alaska,59_-139,59,-139,Alaska,US,0.5,1477953.0
59_-79_Quebec,59_-79,59,-79,Quebec,CA,6.5,1542057.0
60_-165_Alaska,60_-165,60,-165,Alaska,US,0.5,1477953.0
60_-132_British Columbia,60_-132,60,-132,British Columbia,CA,5.4,944735.0
61_-118_Northwest Territories,61_-118,61,-118,Northwest Territories,CA,0.04,1143793.9
62_-134_Yukon,62_-134,62,-134,Yukon,CA,0.08,474712.7
63_-139_Yukon,63_-139,63,-139,Yukon,CA,0.08,474712.7
63_-138_Yukon,63_-138,63,-138,Yukon,CA,0.08,474712.7
64_-103_Nunavut,64_-103,64,-103,Nunavut,CA,0.02,1877778.5
65_-163_Alaska,65_-163,65,-163,Alaska,US,0.5,1477953.0
65_-136_Yukon,65_-136,65,-136,Yukon,CA,0.08,474712.7
66_-167_Alaska,66_-167,66,-167,Alaska,US,0.5,1477953.0
66_-164_Alaska,66_-164,66,-164,Alaska,US,0.5,1477953.0
67_-154_Alaska,67_-154,67,-154,Alaska,US,0.5,1477953.0
67_-145_Alaska,67_-145,67,-145,Alaska,US,0.5,1477953.0
70_-161_Alaska,70_-161,70,-161,Alaska,US,0.5,1477953.0
70_-160_Alaska,70_-160,70,-160,Alaska,US,0.5,1477953.0
25_-81_Florida,25_-81,25,-81,Florida,US,163.0,138887.0
31_-105_Texas,31_-105,31,-105,Texas,US,45.0,676587.0
31_-104_Texas,31_-104,31,-104,Texas,US,45.0,676587.0
31_-83_Georgia,31_-83,31,-83,Georgia,US,74.0,148959.0
33_-90_Mississippi,33_-90,33,-90,Mississippi,US,24.0,121531.0
37_-112_Arizona,37_-112,37,-112,Arizona,US,25.0,294207.0
